asset_id,symbol,name,class_code,sector_code,sub_sector_code,chain_ecosystem,effective_from
egld,EGLD,MultiversX,20,2010,201010,OTHER,2024-05-23
kaito,KAITO,KAITO,30,3040,304010,ETH,2024-05-23
sent,SENT,Sentient,30,3040,304020,OTHER,2024-05-23
sosovalue,SOSO,SoSoValue,30,3040,304010,ETH,2024-05-23
zen,ZEN,Horizen,10,1020,102020,BTC,2024-05-23
safe,SAFE,Safe,30,3040,304030,ETH,2024-05-23
sahara,SAHARA,Sahara AI,30,3040,304020,OTHER,2024-05-23
lpt,LPT,Livepeer,30,3060,306020,ETH,2024-05-23
banana,BANANAS31,Banana For Scale,10,1020,102010,BNB,2024-05-23
rsr,RSR,Reserve Rights,30,3010,301040,ETH,2024-05-23
snx,SNX,Synthetix,30,3010,301020,ETH,2024-05-23
0g,0G,0G,20,2010,201010,OTHER,2024-05-23
gas,GAS,Gas,40,4030,403020,OTHER,2024-05-23
bera,BERA,Berachain,20,2010,201010,OTHER,2024-05-23
linea,LINEA,Linea,20,2020,202010,ETH,2024-05-23
qtum,QTUM,Qtum,20,2010,201010,OTHER,2024-05-23
kmno,KMNO,Kamino,30,3010,301030,SOL,2024-05-23
terra-luna-2,LUNA,Terra,20,2010,201010,COSMOS,2024-05-23
